                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.63006,                0.31793,                0.80521,                0.99604,                0.98297,                0.99477,                0.86021,                  0.569,                0.29465,                0.80633,              0.0004853,              0.0004853,              0.0004853
                    156,                 0.6262,                0.31861,                0.80817,                0.99547,                0.98398,                0.99469,                0.86344,                0.56626,                0.29579,                0.80642,              0.0004754,              0.0004754,              0.0004754
                    157,                0.63255,                0.32094,                 0.8065,                0.99187,                 0.9849,                0.99452,                0.86263,                  0.573,                0.29723,                0.80438,              0.0004655,              0.0004655,              0.0004655
                    158,                 0.6307,                 0.3179,                 0.8035,                0.99612,                0.98252,                 0.9945,                0.86146,                0.56694,                0.29251,                0.80516,              0.0004556,              0.0004556,              0.0004556
                    159,                0.60824,                0.31071,                0.79988,                0.99682,                0.98368,                0.99456,                0.86621,                0.57561,                0.29598,                0.80425,              0.0004457,              0.0004457,              0.0004457
                    160,                0.61362,                0.31146,                 0.8017,                0.99772,                0.98068,                0.99465,                0.86999,                0.54573,                0.28763,                0.80235,              0.0004358,              0.0004358,              0.0004358
                    161,                0.62386,                 0.3145,                0.80674,                0.99593,                0.98784,                0.99486,                 0.8699,                0.55165,                0.28718,                0.80329,              0.0004259,              0.0004259,              0.0004259
                    162,                0.60536,                0.30985,                0.80165,                0.99323,                0.98611,                0.99468,                0.86918,                0.55432,                0.28986,                0.80301,               0.000416,               0.000416,               0.000416
                    163,                0.61194,                0.31101,                0.80351,                0.99354,                0.98431,                0.99474,                0.86386,                0.56165,                0.28895,                0.80504,              0.0004061,              0.0004061,              0.0004061
                    164,                0.61756,                0.31375,                0.80543,                0.99323,                 0.9868,                0.99487,                0.86699,                0.55058,                 0.2871,                0.80316,              0.0003962,              0.0003962,              0.0003962
                    165,                0.62198,                 0.3144,                0.80488,                0.99681,                0.98476,                0.99483,                0.86282,                0.57059,                0.28947,                0.80473,              0.0003863,              0.0003863,              0.0003863
                    166,                 0.6016,                0.30776,                0.80358,                0.99502,                0.98514,                0.99458,                0.86736,                0.55362,                0.28378,                0.80444,              0.0003764,              0.0003764,              0.0003764
                    167,                0.60719,                0.30918,                0.80312,                0.99371,                0.98431,                0.99457,                0.86706,                0.55263,                0.28548,                0.80447,              0.0003665,              0.0003665,              0.0003665
                    168,                0.60061,                0.30934,                0.80218,                0.99727,                0.98125,                0.99457,                 0.8606,                 0.5581,                0.28746,                0.80469,              0.0003566,              0.0003566,              0.0003566
                    169,                0.60822,                0.31086,                0.80476,                0.99322,                0.98511,                 0.9948,                0.86824,                0.55677,                0.28729,                0.80348,              0.0003467,              0.0003467,              0.0003467
                    170,                0.60965,                0.31089,                 0.8026,                0.99187,                 0.9861,                0.99456,                0.86981,                0.54266,                0.28272,                 0.8034,              0.0003368,              0.0003368,              0.0003368
                    171,                0.60688,                0.30962,                0.80328,                0.99278,                0.98562,                0.99459,                0.87246,                0.54883,                0.28498,                0.80236,              0.0003269,              0.0003269,              0.0003269
                    172,                0.60698,                0.30897,                0.80367,                0.99818,                0.98195,                0.99476,                 0.8706,                0.54456,                0.28251,                0.80303,               0.000317,               0.000317,               0.000317
                    173,                0.59732,                0.30567,                0.79914,                0.99863,                0.98126,                0.99476,                0.87347,                0.54106,                0.28128,                0.80266,              0.0003071,              0.0003071,              0.0003071
                    174,                0.59151,                0.30167,                0.80241,                0.99695,                0.98028,                 0.9946,                0.87478,                0.53496,                0.28032,                0.80236,              0.0002972,              0.0002972,              0.0002972
                    175,                0.58608,                0.30234,                0.80072,                0.99708,                0.98162,                0.99467,                0.87215,                0.53694,                0.28139,                0.80167,              0.0002873,              0.0002873,              0.0002873
                    176,                0.58219,                0.30116,                 0.8004,                0.99681,                0.98191,                0.99466,                0.87071,                0.53984,                0.28047,                0.80292,              0.0002774,              0.0002774,              0.0002774
                    177,                0.57689,                0.29753,                0.79854,                0.99368,                0.98626,                0.99482,                0.87429,                0.53629,                0.28123,                0.80158,              0.0002675,              0.0002675,              0.0002675
                    178,                0.59803,                0.30639,                0.80329,                0.99782,                0.98207,                 0.9948,                0.87152,                0.54713,                0.27993,                0.80278,              0.0002576,              0.0002576,              0.0002576
                    179,                0.57983,                0.29914,                0.79918,                0.99757,                0.98162,                0.99476,                0.87142,                 0.5419,                0.28008,                0.80273,              0.0002477,              0.0002477,              0.0002477
                    180,                0.57973,                0.29786,                0.80005,                0.99772,                0.98017,                0.99469,                0.87574,                0.53511,                0.27752,                0.80198,              0.0002378,              0.0002378,              0.0002378
                    181,                0.58153,                0.29872,                0.80149,                0.99824,                0.98162,                0.99475,                0.87546,                0.52994,                0.27572,                0.80109,              0.0002279,              0.0002279,              0.0002279
                    182,                0.57564,                0.29948,                0.79982,                0.99424,                0.98879,                0.99491,                0.87954,                0.52635,                0.27488,                0.80249,               0.000218,               0.000218,               0.000218
                    183,                0.56402,                0.29312,                0.79817,                0.99458,                0.98708,                0.99487,                  0.876,                0.52883,                0.27452,                0.80227,              0.0002081,              0.0002081,              0.0002081
                    184,                0.55697,                0.29152,                0.79861,                0.99497,                 0.9861,                0.99487,                0.87696,                0.53046,                0.27451,                0.80265,              0.0001982,              0.0001982,              0.0001982
                    185,                0.57828,                0.29785,                0.80114,                0.99468,                 0.9861,                0.99486,                0.87654,                0.52609,                0.27417,                0.80215,              0.0001883,              0.0001883,              0.0001883
                    186,                0.57702,                0.29618,                0.80151,                0.99863,                0.98244,                0.99487,                0.87686,                0.52877,                0.27504,                0.80218,              0.0001784,              0.0001784,              0.0001784
                    187,                0.56537,                0.29369,                0.79685,                0.99591,                0.98745,                0.99489,                0.88024,                0.52512,                0.27522,                0.80127,              0.0001685,              0.0001685,              0.0001685
                    188,                0.55568,                0.29032,                0.79908,                 0.9981,                0.98162,                0.99474,                0.87924,                0.52218,                0.27363,                0.80121,              0.0001586,              0.0001586,              0.0001586
                    189,                0.57506,                0.29574,                0.79861,                0.99535,                 0.9861,                0.99483,                0.87904,                0.52057,                0.27242,                0.80128,              0.0001487,              0.0001487,              0.0001487
                    190,                0.55977,                0.29131,                0.79812,                0.99818,                0.98235,                0.99483,                0.87938,                0.52152,                0.27199,                 0.8021,              0.0001388,              0.0001388,              0.0001388
                    191,                0.51269,                0.27395,                0.78802,                0.99772,                0.98077,                0.99463,                0.86728,                 0.5474,                0.28035,                 0.8039,              0.0001289,              0.0001289,              0.0001289
                    192,                0.48973,                0.26779,                0.78274,                0.99818,                0.98121,                0.99463,                0.86654,                0.55563,                 0.2788,                0.80422,               0.000119,               0.000119,               0.000119
                    193,                0.47697,                0.26529,                0.78627,                0.99857,                0.98117,                0.99449,                0.87246,                0.54175,                0.27739,                0.80295,              0.0001091,              0.0001091,              0.0001091
                    194,                0.47499,                0.26361,                0.78367,                0.99532,                0.98521,                0.99443,                0.87561,                 0.5352,                0.27471,                0.80279,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.46875,                0.26078,                0.78205,                0.99727,                 0.9815,                0.99453,                0.87462,                0.53271,                0.27452,                0.80258,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                 0.4645,                0.25929,                0.78442,                0.99818,                0.98098,                0.99459,                0.87634,                0.52863,                0.27456,                0.80217,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.45572,                0.25598,                0.78331,                0.99544,                0.98386,                0.99463,                0.87935,                0.52582,                0.27292,                0.80163,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.46179,                0.25836,                0.78376,                0.99592,                0.98502,                0.99464,                 0.8802,                0.52512,                0.27365,                0.80177,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.45013,                0.25385,                0.78205,                0.99809,                0.98073,                0.99464,                0.88055,                0.52165,                0.27116,                0.80182,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.44026,                0.25036,                0.78043,                0.99591,                0.98246,                0.99459,                0.88043,                0.52112,                0.27164,                0.80155,               3.98e-05,               3.98e-05,               3.98e-05
